data;vazao;nivel;chuva;Interpolado chuva;Interpolado vazao
25/01/2003;15,31607779;;0,007325684;Sim;Sim
26/01/2003;17,32605976;;0,295522395;Sim;Sim
27/01/2003;14,38904558;;1,011604394;Sim;Sim
28/01/2003;13,47742681;;0;Sim;Sim
29/01/2003;13,21632693;;0,020476443;Sim;Sim
30/01/2003;13,92047123;;19,83394245;Sim;Sim
31/01/2003;12,59806294;;1,030290149;Sim;Sim
01/02/2003;11,77327355;;0,222137569;Sim;Sim
02/02/2003;12,00447079;;5,035610929;Sim;Sim
03/02/2003;11,4225819;;3,220396914;Sim;Sim
04/02/2003;10,96216806;;0,064713344;Sim;Sim
05/02/2003;10,26058689;;0;Sim;Sim
06/02/2003;9,718465179;;0,036261092;Sim;Sim
07/02/2003;9,47655238;;0;Sim;Sim
08/02/2003;9,236004108;;0;Sim;Sim
09/02/2003;9,183592577;;0;Sim;Sim
10/02/2003;8,893225742;;0;Sim;Sim
11/02/2003;8,74890911;;0,055549686;Sim;Sim
12/02/2003;8,605345272;;0,081235878;Sim;Sim
13/02/2003;8,370201845;;0;Sim;Sim
14/02/2003;8,146924096;;0;Sim;Sim
15/02/2003;8,060799248;;0;Sim;Sim
16/02/2003;7,925030555;;0;Sim;Sim
17/02/2003;7,875571232;;0;Sim;Sim
18/02/2003;10,34433583;;10,36697914;Sim;Sim
19/02/2003;8,334089887;;0,738158414;Sim;Sim
20/02/2003;8,462325124;;4,102851884;Sim;Sim
21/02/2003;8,060799248;;0,030714664;Sim;Sim
22/02/2003;7,521692653;;0;Sim;Sim
23/02/2003;7,436830633;;0;Sim;Sim
24/02/2003;7,521692653;;0;Sim;Sim
25/02/2003;7,255959519;;0,626346006;Sim;Sim
26/02/2003;7,340568974;;0,06434538;Sim;Sim
27/02/2003;7,171665772;;0;Sim;Sim
28/02/2003;6,909066002;;0;Sim;Sim
01/03/2003;7,293018745;;1,327231988;Sim;Sim
02/03/2003;6,909066002;;0,505085585;Sim;Sim
03/03/2003;6,649220748;;0;Sim;Sim
04/03/2003;6,56625297;;7,316357999;Sim;Sim
05/03/2003;6,992854619;;1,818891813;Sim;Sim
06/03/2003;8,197131311;;4,438877107;Sim;Sim
07/03/2003;6,742372748;;0;Sim;Sim
08/03/2003;6,649220748;;3,370907118;Sim;Sim
09/03/2003;6,56625297;;0;Sim;Sim
10/03/2003;6,483600898;;0;Sim;Sim
11/03/2003;6,309623903;;0,03829562;Sim;Sim
12/03/2003;6,227540104;;0;Sim;Sim
13/03/2003;6,182371323;;0;Sim;Sim
14/03/2003;6,557643259;;3,812612236;Sim;Sim
15/03/2003;7,124115543;;3,27968512;Sim;Sim
16/03/2003;8,177897002;;16,72250564;Sim;Sim
17/03/2003;6,789529349;;0,114230059;Sim;Sim
18/03/2003;10,45234728;;34,86802311;Sim;Sim
19/03/2003;6,992854619;;0,775830164;Sim;Sim
20/03/2003;6,695590094;;0,153955834;Sim;Sim
21/03/2003;6,483600898;;0,069500427;Sim;Sim
22/03/2003;6,227540104;;0;Sim;Sim
23/03/2003;6,309623903;;5,573109383;Sim;Sim
24/03/2003;7,558489436;;5,763057203;Sim;Sim
25/03/2003;6,520277252;;0,298230157;Sim;Sim
26/03/2003;6,182371323;;0,033848282;Sim;Sim
27/03/2003;6,227540104;;0,072657701;Sim;Sim
28/03/2003;6,100603231;;0,243201451;Sim;Sim
29/03/2003;6,064256485;;0,458411828;Sim;Sim
30/03/2003;5,974292869;;0,130611915;Sim;Sim
31/03/2003;5,812208937;;0;Sim;Sim
01/04/2003;5,767827411;;0;Sim;Sim
02/04/2003;5,723859195;;0;Sim;Sim
03/04/2003;5,643227647;;0;Sim;Sim
04/04/2003;5,562974948;;0,188110705;Sim;Sim
05/04/2003;5,556531142;;0;Sim;Sim
06/04/2003;5,476278443;;0;Sim;Sim
07/04/2003;6,175278762;;12,56702702;Sim;Sim
08/04/2003;6,145772011;;1,817127031;Sim;Sim
09/04/2003;5,767827411;;0,245014423;Sim;Sim
